id_plot;xl93;yl93;elevation;pH;slope;expo;depth_layer1;depth_total;text_layer1;text_layer2;rockContent;swhc;CN_ratio;humus
561611;956348;6516606;1021;6.2550867696087;32;34;NA;4;0;5;4;17.04;20.0816899872727;31
567288;956262;6506616;304;6.94379004566667;0;NA;NA;9;0;6;0;125.6775;16.1236123618182;55
570176;934318;6510802;1405;6.04413082482353;15;140;NA;3;0;0;0;0;23.9072478677143;21
572257;939468;6528742;886;5.81655398883333;34;315;NA;5;0;5;3;48.048;14.1859185925;45
574550;934404;6520792;588;6.76623429011111;25;340;NA;6;0;7;1;52.632;11.709270927;40
580849;948322;6512679;958;6.40744428990909;58;207;NA;4;0;7;3;33.64725;21.4989759843478;25
583504;942431;6524720;1204;6.6795909175;62;115;NA;1;0;6;3;5.915;21.5518073543478;45
605265;946306;6510698;791;6.72868922484746;60;114;NA;6;0;9;6;14.712;18.3976044668627;45
605325;934352;6514798;1212;5.96244055441379;30;305;NA;7;0;7;2;61.2;17.0547054707407;45
610418;954419;6524616;1084;5.95227851812903;15;325;NA;4;0;7;3;24.157;19.7629762970968;42
611517;944343;6514712;867;6.61409627917391;81;297;2;4;6;5;6;9.296;18.441379022093;25
